,grade,year,points,p1,p2,p3,p4,p5,p6,p7,p8,status,status_eng,region,region_eng,region_id,school
3068,11,2018,20,5,6,2,0,0,7,0,0,участник,participant,Москва,Moscow,77.0,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный университет имени М.В. Ломоносова"". Специализированный учебно-научный центр (факультет) — школа-интернат имени А.Н. Колмогорова Московского государственного университета имени М.В. Ломоносова"
3069,11,2018,19,7,4,0,0,5,3,0,0,участник,participant,Ленинградская область,Leningrad region,47.0,"Муниципальное бюджетное общеобразовательное учреждение ""Гатчинский лицей № 3 имени Героя Советского Союза А.И. Перегудова"""
3070,11,2018,19,5,0,7,0,7,0,0,0,участник,participant,Кировская область,Kirov region,43.0,муниципальное общеобразовательное автономное учреждение «Лицей информационных технологий №28» города Кирова
3071,11,2018,18,0,7,4,0,7,0,0,0,участник,participant,Кемеровская область,Kemerovo region,42.0,"муниципальное бюджетное нетиповое общеобразовательное учреждение «Городской классический лицей», г. Кемерово"
3072,11,2018,17,7,0,0,0,5,5,0,0,участник,participant,Чеченская Республика,Chechen Republic,95.0,"Государственное бюджетное общеобразовательное учреждение «Президентский лицей», г.Грозный"
3073,11,2018,15,7,7,0,0,0,1,0,0,участник,participant,Ярославская область,Yaroslavl region,76.0,"муниципальное общеобразовательное учреждение «Средняя школа № 33 им. К. Маркса с углубленным изучением математики», город Ярославль"
3074,11,2018,14,0,7,0,0,7,0,0,0,участник,participant,Калужская область,Kaluga region,40.0,Муниципальное бюджетное общеобразовательное учреждение «Лицей «Физико-техническая школа» города Обнинска
3075,11,2018,14,0,0,0,0,7,7,0,0,участник,participant,Челябинская область,Chelyabinsk region,74.0,Муниципальное бюджетное общеобразовательное учреждение «Физико-математический лицей № 31 г. Челябинска»
3076,11,2018,14,0,1,0,0,7,6,0,0,участник,participant,Алтайский край,Altai region,22.0,"муниципальное бюджетное общеобразовательное учреждение ""Лицей № 124"", г.Барнаул"
3077,11,2018,13,3,0,0,0,7,3,0,0,участник,participant,Ивановская область,Ivanovo region,37.0,"муниципальное бюджетное общеобразовательное учреждение «Лицей №22», г.Иваново"
3078,11,2018,13,0,6,0,0,0,7,0,0,участник,participant,Челябинская область,Chelyabinsk region,74.0,Муниципальное бюджетное общеобразовательное учреждение «Физико-математический лицей № 31 г. Челябинска»
3079,11,2018,12,3,1,1,0,7,0,0,0,участник,participant,Тамбовская область,Tambov Region,68.0,"муниципальное автономное общеобразовательное учреждение ""Лицей №14 имени Заслуженного учителя Российской Федерации А.М.Кузьмина"""
3080,11,2018,12,0,5,0,0,0,7,0,0,участник,participant,Оренбургская область,Orenburg region,56.0,муниципальное общеобразовательное бюджетное учреждение «Физико-математический лицей» г.Оренбурга
3081,11,2018,12,7,0,0,0,5,0,0,0,участник,participant,Архангельская область,Arkhangelsk region,29.0,муниципальное бюджетное общеобразовательное учреждение муниципального образования «Город Архангельск» «Гимназия № 6»
3082,11,2018,11,0,7,0,0,0,4,0,0,участник,participant,Иркутская область,Irkutsk region,38.0,"Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов», г.Ангарск"
3083,11,2018,10,3,0,0,0,0,7,0,0,участник,participant,Ставропольский край,Stavropol region,26.0,"муниципальное бюджетное общеобразовательное учреждение для детей и подростков, имеющих высокие интеллектуальные способности, гимназия № 10 ЛИК города Невинномысска"
3084,11,2018,10,0,5,0,0,5,0,0,0,участник,participant,Карачаево-Черкесская Республика,Karachay-Cherkess Republic,9.0,"Муниципальное бюджетное общеобразовательное учреждение «Гимназия №16- детский сад», г. Черкесск"
3085,11,2018,10,7,0,0,0,0,3,0,0,участник,participant,Белгородская область,Belgorod region,31.0,муниципальное бюджетное общеобразовательное учреждение «Лицей № 9» г. Белгорода
3086,11,2018,8,0,0,1,0,5,2,0,0,участник,participant,Иркутская область,Irkutsk region,38.0,муниципальное автономное образовательное учреждение Лицей ИГУ города Иркутска
3087,11,2018,8,0,0,1,0,7,0,0,0,участник,participant,Республика Северная Осетия - Алания,Republic of North Ossetia - Alania,15.0,Автономная некоммерческая общеобразовательная организация «Институт цивилизации» г. Владикавказ
3088,11,2018,7,7,0,0,0,0,0,0,0,участник,participant,Красноярский край,Krasnoyarsk region,24.0,муниципальное бюджетное общеобразовательное учреждение «Средняя школа № 1 с углубленным изучением физики и математики им. А.П. Завенягина»
3089,11,2018,7,0,0,0,0,0,7,0,0,участник,participant,Республика Хакасия,The Republic of Khakassia,19.0,Муниципальное бюджетное общеобразовательное учреждение города Абакана «Гимназия»
3090,9,2019,50,7,7,7,7,7,7,7,1,победитель,winner,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
3091,9,2019,49,7,7,7,7,7,7,7,0,победитель,winner,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
3092,9,2019,43,7,7,7,1,7,7,7,0,призер,prize-winner,Москва,Moscow,77.0,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей ""Вторая школа"""
